Cardiac_Function_and_ECG_Criteria,Current_Medication_Use,Demographics_and_General_Eligibility,Drug_Intolerances_and_Toxicity_History,Electrolytes_and_Minerals,Endocrine_and_Metabolic_Function,General_Comorbidities,Genomic_Alterations,Hematologic_Parameters,Liver_Function,Molecular_Biomarkers,Performance_Status_and_Prognosis,Primary_Tumor_Type,Prior_Treatment_Exposure,Renal_Function,Surgical_History_and_Plans,Treatment_Eligibility_Intent_and_Setting,Treatment_Lines_and_Sequencing,Tumor_Site_and_Extent,Vital_Signs_and_Body_Function_Metrics,Washout_Periods
,,,,,,HAS_HISTORY_OF_SECOND_MALIGNANCY_WITHIN_X_YEARS_IGNORING_DOID_TERMS_Y,,,,PD_L1_SCORE_OF_AT_LEAST_X,,MEETS_SPECIFIC_REQUIREMENTS _REGARDING_BIOPSY,HAS_HAD_SOC_TARGETED_THERAPY_FOR_NSCLC_EXCLUDING_DRIVER_GENES_X,,,,,,,
,,,,,,HAS_HISTORY_OF_SPECIFIC_CONDITION_WITH_ICD_TITLE_X,,,,PD_L1_SCORE_OF_AT_MOST_X,,,HAS_HAD_SYSTEMIC_THERAPY_WITH_ANY_INTENT_X,,,,,,,
,,,,,,HAS_HISTORY_OF_SPECIFIC_CONDITION_WITH_ICD_TITLE_X_WITHIN_Y_MONTHS,,,,PD_L1_SCORE_TAP_OF_AT_LEAST_X,,,HAS_HAD_SYSTEMIC_TREATMENT_IN_ADVANCED_OR_METASTATIC_SETTING,,,,,,,
,,,,,,HAS_HISTORY_OF_SPECIFIC_CONDITION_X_BY_NAME,,,,PD_L1_SCORE_TAP_OF_AT_MOST_X,,,HAS_HAD_SYSTEMIC_TREATMENT_ONLY_OF_CATEGORY_X_AND_TYPE_Y,,,,,,,
,,,,,,HAS_HISTORY_OF_SPECIFIC_CONDITION_X_BY_NAME_WITHIN_Y_MONTHS,,,,PD_L1_SCORE_TC_OF_AT_LEAST_X,,,HAS_HAD_TARGETED_THERAPY_INTERFERING_WITH_RAS_MEK_MAPK_PATHWAY,,,,,,,
,,,,,,HAS_HISTORY_OF_STROKE,,,,PD_L1_SCORE_TPS_OF_AT_LEAST_X,,,HAS_HAD_TREATMENT_NAME_X,,,,,,,
,,,,,,HAS_HISTORY_OF_STROKE_WITHIN_X_MONTHS,,,,PD_L1_SCORE_TPS_OF_AT_MOST_X,,,HAS_HAD_TREATMENT_WITH_ANY_DRUG_X,,,,,,,
,,,,,,HAS_HISTORY_OF_THROMBOEMBOLIC_EVENT,,,,PD_L1_STATUS_MUST_BE_AVAILABLE,,,HAS_HAD_TREATMENT_WITH_ANY_DRUG_X_AS_MOST_RECENT_LINE,,,,,,,
,,,,,,HAS_HISTORY_OF_THROMBOEMBOLIC_EVENT_WITHIN_X_MONTHS,,,,PROTEIN_X_IS_WILD_TYPE_BY_IHC,,,HAS_PREVIOUSLY_PARTICIPATED_IN_TRIAL,,,,,,,
,,,,,,HAS_HISTORY_OF_ULCER,,,,TMB_OF_AT_LEAST_X,,,HAS_PREVIOUSLY_PARTICIPATED_IN_TRIAL_X,,,,,,,
,,,,,,HAS_HISTORY_OF_VASCULAR_DISEASE,,,,TML_BETWEEN_X_AND_Y,,,HAS_PROGRESSIVE_DISEASE_FOLLOWING_CATEGORY_X_TREATMENT,,,,,,,
,,,,,,HAS_HISTORY_OF_VENOUS_THROMBOEMBOLIC_EVENT,,,,TML_OF_AT_LEAST_X,,,HAS_PROGRESSIVE_DISEASE_FOLLOWING_CATEGORY_X_TREATMENT_OF_TYPES_Y,,,,,,,
,,,,,,HAS_HISTORY_OF_WOUND,,,,,,,HAS_PROGRESSIVE_DISEASE_FOLLOWING_CATEGORY_X_TREATMENT_OF_TYPES_Y_AND_AT_LEAST_Z_CYCLES,,,,,,,
,,,,,,HAS_HYPERTENSION,,,,,,,HAS_PROGRESSIVE_DISEASE_FOLLOWING_FIRST_LINE_CATEGORY_X_OF_TYPES_Y_TREATMENT,,,,,,,
,,,,,,HAS_HYPOTENSION,,,,,,,HAS_PROGRESSIVE_DISEASE_FOLLOWING_NAME_X_TREATMENT,,,,,,,
,,,,,,HAS_INHERITED_PREDISPOSITION_TO_BLEEDING_OR_THROMBOSIS,,,,,,,HAS_PROGRESSIVE_DISEASE_FOLLOWING_TREATMENT_WITH_ANY_DRUG_X,,,,,,,
,,,,,,HAS_KNOWN_ACTIVE_BRAIN_METASTASES,,,,,,,HAS_RADIOLOGICAL_PROGRESSIVE_DISEASE_AFTER_LATEST_TREATMENT_LINE,,,,,,,
,,,,,,HAS_KNOWN_ACTIVE_CNS_METASTASES,,,,,,,HAS_RECEIVED_PLATINUM_BASED_DOUBLET,,,,,,,
,,,,,,HAS_KNOWN_BRAIN_METASTASES,,,,,,,HAS_RECEIVED_POTENTIAL_SYSTEMIC_TREATMENT_FOR_BRAIN_METASTASES,,,,,,,
,,,,,,HAS_KNOWN_CNS_METASTASES,,,,,,,IS_ELIGIBLE_FOR_INTENSIVE_TREATMENT,,,,,,,
,,,,,,HAS_KNOWN_CYTOMEGALOVIRUS_INFECTION,,,,,,,IS_ELIGIBLE_FOR_LOCAL_LIVER_TREATMENT,,,,,,,
,,,,,,HAS_KNOWN_EBV_INFECTION,,,,,,,IS_ELIGIBLE_FOR_LOCAL_TREATMENT_OF_METASTASES,,,,,,,
,,,,,,HAS_KNOWN_HEPATITIS_A_INFECTION,,,,,,,IS_ELIGIBLE_FOR_LOCO_REGIONAL_THERAPY,,,,,,,
,,,,,,HAS_KNOWN_HEPATITIS_B_INFECTION,,,,,,,IS_ELIGIBLE_FOR_ON_LABEL_TREATMENT_X,,,,,,,
,,,,,,HAS_KNOWN_HEPATITIS_C_INFECTION,,,,,,,IS_ELIGIBLE_FOR_TREATMENT_OF_CATEGORY_X_AND_ANY_TYPE_Y,,,,,,,
,,,,,,HAS_KNOWN_HIV_INFECTION,,,,,,,IS_NOT_PARTICIPATING_IN_ANOTHER_TRIAL,,,,,,,
,,,,,,HAS_KNOWN_HSV_INFECTION,,,,,,,,,,,,,,
,,,,,,HAS_KNOWN_TUBERCULOSIS_INFECTION,,,,,,,,,,,,,,
,,,,,,HAS_LEPTOMENINGEAL_DISEASE,,,,,,,,,,,,,,
,,,,,,HAS_MRI_SCAN_DOCUMENTING_STABLE_DISEASE,,,,,,,,,,,,,,
,,,,,,HAS_POTENTIAL_ABSORPTION_DIFFICULTIES,,,,,,,,,,,,,,
,,,,,,HAS_POTENTIAL_CONTRAINDICATION_FOR_PET_CT_SCAN,,,,,,,,,,,,,,
,,,,,,HAS_POTENTIAL_CONTRAINDICATION_FOR_STEREOTACTIC_RADIOSURGERY,,,,,,,,,,,,,,
,,,,,,HAS_POTENTIAL_CONTRAINDICATION_TO_CT,,,,,,,,,,,,,,
,,,,,,HAS_POTENTIAL_CONTRAINDICATION_TO_MRI,,,,,,,,,,,,,,
,,,,,,HAS_POTENTIAL_CONTRAINDICATION_TO_PET_MRI,,,,,,,,,,,,,,
,,,,,,HAS_POTENTIAL_ORAL_MEDICATION_DIFFICULTIES,,,,,,,,,,,,,,
,,,,,,HAS_POTENTIAL_RESPIRATORY_COMPROMISE,,,,,,,,,,,,,,
,,,,,,HAS_POTENTIAL_UNCONTROLLED_TUMOR_RELATED_PAIN,,,,,,,,,,,,,,
,,,,,,HAS_RECEIVED_LIVE_VACCINE_WITHIN_X_MONTHS,,,,,,,,,,,,,,
,,,,,,HAS_RECEIVED_NON_LIVE_VACCINE_WITHIN_X_WEEKS,,,,,,,,,,,,,,
,,,,,,HAS_SEVERE_CONCOMITANT_CONDITION,,,,,,,,,,,,,,
,,,,,,MEETS_COVID_19_INFECTION_REQUIREMENTS,,,,,,,,,,,,,,
,,,,,,MEETS_SPECIFIC_CRITERIA_REGARDING_BRAIN_METASTASES,,,,,,,,,,,,,,
